,votes_dem_2016,votes_gop_2016,total_votes_2016,state_abbr
672,930,3743,5191,ID
673,1196,6441,8223,ID
674,976,8436,11471,ID
675,2117,7347,10667,ID
676,16264,44449,66286,ID
677,8093,7255,18146,ID
678,733,3011,4068,ID
679,270,1202,1590,ID
680,360,1184,1748,ID
681,1201,8941,15687,ID
682,1167,4887,6870,ID
683,4828,10699,17195,ID
684,184,1531,2068,ID
685,591,3052,3920,ID
686,892,4306,5703,ID
687,699,1666,2758,ID
688,1384,3297,5120,ID
689,2157,2161,4966,ID
690,6844,21063,31893,ID
691,1913,2906,5349,ID
692,776,3283,4454,ID
693,7633,22732,31770,IL
694,1262,1496,2820,IL
695,2066,4884,7462,IL
696,8952,12261,22604,IL
697,475,1776,2336,IL
698,6010,9264,16303,IL
699,739,1719,2556,IL
700,2437,4428,7354,IL
701,1617,3216,5054,IL
702,49694,33235,89196,IL
703,3982,10522,15310,IL
704,1873,5620,7819,IL
705,1014,5009,6278,IL
706,3939,12394,17268,IL
707,7285,12985,21580,IL
708,1528582,440213,2055215,IL
709,1969,6146,8507,IL
710,1028,4200,5513,IL
711,20348,19051,42605,IL
712,1907,5072,7469,IL
713,1946,5695,8089,IL
714,222499,164355,412929,IL
715,1778,5634,7783,IL
716,432,2777,3312,IL
717,3071,13613,17428,IL
718,1814,7363,9515,IL
719,1410,4474,6289,IL
720,4711,13101,18533,IL
721,6118,8482,15609,IL
722,656,1942,2691,IL
723,1202,4139,5542,IL
724,8021,13417,22891,IL
725,800,3205,4143,IL
726,1744,5713,7818,IL
727,419,1650,2133,IL
728,1151,2153,3480,IL
729,8835,13962,24232,IL
730,2496,9728,12923,IL
731,11619,10889,24509,IL
732,924,3973,5104,IL
733,4408,11681,16818,IL
734,2673,7737,10909,IL
735,4452,6113,11177,IL
736,1135,4644,6017,IL
737,99389,82087,193500,IL
738,18908,25081,46556,IL
739,23392,24152,50815,IL
740,9939,10658,21964,IL
741,168186,108608,293574,IL
742,19277,26269,48447,IL
743,1288,4517,6039,IL
744,5499,8597,15215,IL
745,4005,10197,15096,IL
746,3301,8167,12130,IL
747,18211,26782,47283,IL
748,6532,14194,21881,IL
749,50336,70295,127902,IL
750,4231,11677,16600,IL
751,1784,3776,5903,IL
752,2008,4051,6433,IL
753,1555,4844,6633,IL
754,5278,6789,12910,IL
755,59827,71117,140145,IL
756,35918,37081,78995,IL
757,1808,4230,6423,IL
758,3061,4800,8417,IL
759,5522,12614,19074,IL
760,3490,8616,12829,IL
761,4693,9060,14607,IL
762,1476,4453,6209,IL
763,8025,14344,23798,IL
764,37436,35299,77465,IL
765,2433,6816,9706,IL
766,2633,5623,8899,IL
767,1412,5749,7458,IL
768,374,1678,2132,IL
769,817,1583,2473,IL
770,1143,1762,3076,IL
771,3421,9992,14032,IL
772,1579,5736,7630,IL
773,32258,26969,62971,IL
774,2551,8248,11234,IL
775,40731,49823,96472,IL
776,1074,2523,3792,IL
777,528,1965,2583,IL
778,2279,8209,10912,IL
779,60180,53479,119201,IL
780,748,1777,2707,IL
781,7531,10845,19525,IL
782,20568,38620,63347,IL
783,2389,5780,8514,IL
784,9876,18582,29799,IL
785,1146,4039,5402,IL
786,2983,4267,7700,IL
787,1446,5566,7376,IL
788,1048,6963,8256,IL
789,1412,5639,7289,IL
790,11005,12597,25210,IL
791,146230,129726,291010,IL
792,8539,21503,31422,IL
793,52595,53922,113027,IL
794,5068,13180,19389,IL
795,2802,9642,13039,IN
796,55222,83801,145787,IN
